Product ID,Product Name,Category,Description,Unit Price,Unit of Measure,Supplier ID,Supplier Name,Supplier Warehouse Location,Supplier Warehouse Address,Availability days,Minimum Order Quantity,Stock Quantity,Currency,Manufacturer
P_0046,Ergonomic Keyboard,IT Accessories,"Portable SSD with 1TB capacity, USB 3.2",159.04,Each,S152,DeskoFlex,Germany,"133 Main Street, Essen, Germany",6,25,289,EURO,Bti
P_0047,USB-C Docking Station,IT Accessories,Wireless mouse with multi-device connectivity,131.53,Each,S167,DeskoFlex,Germany,"45 Main Street, Essen, Germany",14,24,416,EURO,base Xx
P_0048,Webcam HD,IT Accessories,Metal monitor stand with storage drawer,269.1,Each,S155,KeyTech Inc.,Germany,"69 Main Street, Hamburg, Germany",5,6,566,EURO,Apple
P_0049,Ergonomic Keyboard,IT Accessories,Bluetooth ergonomic keyboard with customizable keys,276.88,Each,S112,KeyTech Inc.,Germany,"120 Main Street, Hamburg, Germany",13,32,74,EURO,3m
P_0050,Ergonomic Keyboard,IT Accessories,Metal monitor stand with storage drawer,95.23,Each,S126,StandSolutions,Germany,"63 Main Street, Düsseldorf, Germany",6,8,219,EURO,Apple
P_0051,Webcam HD,IT Accessories,Wireless mouse with multi-device connectivity,44.52,Each,S176,MouseWare,Germany,"161 Main Street, Leipzig, Germany",7,6,213,EURO,base Xx
P_0052,Wireless Mouse,IT Accessories,Bluetooth ergonomic keyboard with customizable keys,295.93,Each,S158,StandSolutions,Germany,"150 Main Street, Dortmund, Germany",13,23,735,EURO,Cherry
P_0053,Noise Cancelling Headphones,IT Accessories,1080p HD webcam with privacy shutter,285.65,Each,S133,QuietSpace,Germany,"5 Main Street, Leipzig, Germany",3,23,666,EURO,Cherry
P_0054,Standing Desk,Office,Metal monitor stand with storage drawer,44.19,Each,S162,ConnectTech,Germany,"135 Main Street, Frankfurt, Germany",8,17,548,EURO,Articona
P_0055,Noise Cancelling Headphones,IT Accessories,Metal monitor stand with storage drawer,97.2,Each,S184,QuietSpace,Germany,"163 Main Street, Munich, Germany",5,26,680,EURO,Logitech
P_0056,Ergonomic Keyboard,IT Accessories,Adjustable height standing desk with memory settings,181.07,Each,S119,SpeedStorage,Germany,"65 Main Street, Frankfurt, Germany",3,47,515,EURO,Acer
P_0057,Webcam HD,IT Accessories,1080p HD webcam with privacy shutter,283.49,Each,S158,StandSolutions,Germany,"118 Main Street, Stuttgart, Germany",8,19,703,EURO,Cherry
P_0058,Ergonomic Keyboard,IT Accessories,USB-C docking station with multiple ports,287.38,Each,S136,KeyTech Inc.,Germany,"111 Main Street, Dortmund, Germany",11,49,70,EURO,Apple
P_0059,Portable SSD,IT Accessories,1080p HD webcam with privacy shutter,68.42,Each,S186,QuietSpace,Germany,"14 Main Street, Hamburg, Germany",6,46,208,EURO,Acer
P_0060,Webcam HD,IT Accessories,1080p HD webcam with privacy shutter,132.67,Each,S168,ConnectTech,Germany,"46 Main Street, Düsseldorf, Germany",2,46,822,EURO,3m
P_0061,Wireless Mouse,IT Accessories,Over-ear noise cancelling headphones with microphone,52.8,Each,S143,StandSolutions,Germany,"28 Main Street, Stuttgart, Germany",5,30,134,EURO,Case Logic
P_0062,Webcam HD,IT Accessories,Wireless mouse with multi-device connectivity,286.87,Each,S152,StandSolutions,Germany,"28 Main Street, Dortmund, Germany",8,34,662,EURO,Cherry
P_0063,Standing Desk,Office,Adjustable height standing desk with memory settings,175.91,Each,S123,KeyTech Inc.,Germany,"81 Main Street, Essen, Germany",7,47,497,EURO,Cherry
P_0064,Standing Desk,Office,Bluetooth ergonomic keyboard with customizable keys,267.88,Each,S183,DeskoFlex,Germany,"124 Main Street, Hamburg, Germany",11,36,632,EURO,Apple
P_0065,Portable SSD,IT Accessories,Over-ear noise cancelling headphones with microphone,82.74,Each,S160,QuietSpace,Germany,"152 Main Street, Berlin, Germany",6,37,881,EURO,Acer
P_0066,Ergonomic Keyboard,IT Accessories,Metal monitor stand with storage drawer,28.15,Each,S166,StandSolutions,Germany,"112 Main Street, Dortmund, Germany",5,47,90,EURO,Cherry
P_0067,Wireless Mouse,IT Accessories,Metal monitor stand with storage drawer,257.2,Each,S150,MouseWare,Germany,"112 Main Street, Dortmund, Germany",2,6,339,EURO,Articona
P_0068,Portable SSD,IT Accessories,Over-ear noise cancelling headphones with microphone,114.87,Each,S111,SpeedStorage,Germany,"160 Main Street, Leipzig, Germany",7,8,125,EURO,Logitech
P_0069,Noise Cancelling Headphones,IT Accessories,USB-C docking station with multiple ports,294.16,Each,S114,KeyTech Inc.,Germany,"147 Main Street, Cologne, Germany",2,22,169,EURO,Belkin
P_0070,Standing Desk,Office,"Portable SSD with 1TB capacity, USB 3.2",175.84,Each,S180,ConnectTech,Germany,"20 Main Street, Dortmund, Germany",6,8,242,EURO,3dconnexion
P_0071,Monitor Stand,IT Accessories,"Portable SSD with 1TB capacity, USB 3.2",196.44,Each,S176,DeskoFlex,Germany,"39 Main Street, Stuttgart, Germany",13,37,18,EURO,Logitech
P_0072,Webcam HD,IT Accessories,Bluetooth ergonomic keyboard with customizable keys,183.45,Each,S128,SpeedStorage,Germany,"131 Main Street, Düsseldorf, Germany",6,32,893,EURO,Acer
P_0073,Wireless Mouse,IT Accessories,Metal monitor stand with storage drawer,258.9,Each,S125,SpeedStorage,Germany,"193 Main Street, Dortmund, Germany",9,49,769,EURO,Belkin
P_0074,USB-C Docking Station,IT Accessories,Adjustable height standing desk with memory settings,143.48,Each,S133,StandSolutions,Germany,"5 Main Street, Frankfurt, Germany",7,47,226,EURO,3dconnexion
P_0075,Webcam HD,IT Accessories,Over-ear noise cancelling headphones with microphone,239.59,Each,S191,QuietSpace,Germany,"96 Main Street, Stuttgart, Germany",12,28,300,EURO,Bti
P_0076,USB-C Docking Station,IT Accessories,Adjustable height standing desk with memory settings,242.8,Each,S163,DeskoFlex,Germany,"129 Main Street, Hamburg, Germany",8,40,200,EURO,Apple
P_0077,Noise Cancelling Headphones,IT Accessories,Adjustable height standing desk with memory settings,286.01,Each,S110,VisionCam,Germany,"112 Main Street, Hamburg, Germany",9,19,32,EURO,Articona
